Cpo_Id;Billing_Agent_Keyword;Last_Update
DE*END;Chargecloud;2024-11-01 00:00:00+00:00
DE*DEP;Chargecloud;2024-11-01 00:00:00+00:00
DE*LA1;Chargecloud;2024-11-01 00:00:00+00:00
DE*LSB;Chargecloud;2024-11-01 00:00:00+00:00
DE*GOE;Chargecloud;2024-11-01 00:00:00+00:00
DE*HLK;Chargecloud;2024-11-01 00:00:00+00:00
DE*HLS;Chargecloud;2024-11-01 00:00:00+00:00
DE*HOM;Chargecloud;2024-11-01 00:00:00+00:00
DE*HRT;Chargecloud;2024-11-01 00:00:00+00:00
DE*SRA;Chargecloud;2024-11-01 00:00:00+00:00
DE*SOL;Chargecloud;2024-11-01 00:00:00+00:00
DE*SPF;Chargecloud;2024-11-01 00:00:00+00:00
DE*TNK;Chargecloud;2024-11-01 00:00:00+00:00
DE*SUE;Chargecloud;2024-11-01 00:00:00+00:00
DE*SZB;Chargecloud;2024-11-01 00:00:00+00:00
DE*OPE;Chargecloud;2024-11-01 00:00:00+00:00
DE*OVA;Chargecloud;2024-11-01 00:00:00+00:00
DE*PSG;Chargecloud;2024-11-01 00:00:00+00:00
DE*RAT;Chargecloud;2024-11-01 00:00:00+00:00
DE*BOH;Chargecloud;2024-11-01 00:00:00+00:00
NL*CHA;Chargit;2024-12-01 00:00:00+00:00
NL*CCH;City;2024-12-01 00:00:00+00:00
FR*A02;Clem;2024-12-01 00:00:00+00:00
FR*CPS;Clem;2024-12-01 00:00:00+00:00
FR*A04;Clem;2024-12-01 00:00:00+00:00
FR*EPA;Clem;2024-12-01 00:00:00+00:00
FR*A03;Clem;2024-12-01 00:00:00+00:00
NL*CON;Connectned;2024-12-01 00:00:00+00:00
FR*ALL;EVCars;2024-12-01 00:00:00+00:00
AT*EFL;Eflux;2024-12-01 00:00:00+00:00
DE*EFL;Eflux;2024-12-01 00:00:00+00:00
FR*EFL;Eflux;2024-12-01 00:00:00+00:00
BE*EFL;Eflux;2024-12-01 00:00:00+00:00
NL*EFL;Eflux;2024-12-01 00:00:00+00:00
CH*ELC;Electra;2024-12-01 00:00:00+00:00
IT*ELC;Electra;2024-12-01 00:00:00+00:00
BE*ELC;Electra;2024-12-01 00:00:00+00:00
FR*PL2;Electra;2024-12-01 00:00:00+00:00
NL*ELD;Electra;2024-12-01 00:00:00+00:00
FR*ELC;Electra;2024-12-01 00:00:00+00:00
BE*ELD;Electra;2024-12-01 00:00:00+00:00
FR*55C;Electric55;2024-12-01 00:00:00+00:00
